Índice	IDUNIDADE	METAJUNJUL	DTFIM	ANO
2467	1002000210	37	31/01/2022	2022
2468	1003003001	138	31/01/2022	2022
2469	1004004001	70	31/01/2022	2022
2470	1077077001	31	31/01/2022	2022
2471	1138025880	65	31/01/2022	2022
2472	1068068001	71	31/01/2022	2022
2473	1100100001	35	31/01/2022	2022
2474	1007007001	116	31/01/2022	2022
2475	1080008010	31	31/01/2022	2022
2476	1071071001	49	31/01/2022	2022
2477	1104104001	246	31/01/2022	2022
2478	1081081001	31	31/01/2022	2022
2479	1011013463	37	31/01/2022	2022
2480	1014014001	100	31/01/2022	2022
2481	1016019973	45	31/01/2022	2022
2482	1105105001	49	31/01/2022	2022
2483	1018001801	69	31/01/2022	2022
2484	1083083001	81	31/01/2022	2022
2485	1019015341	79	31/01/2022	2022
2486	1107019141	169	31/01/2022	2022
2487	1108144508	83	31/01/2022	2022
2488	1084084001	37	31/01/2022	2022
2489	1109109001	101	31/01/2022	2022
2490	1110020599	94	31/01/2022	2022
2491	1020020001	29	31/01/2022	2022
2492	1022014836	94	31/01/2022	2022
2493	1021015151	94	31/01/2022	2022
2494	1085019015	37	31/01/2022	2022
2495	1111026765	56	31/01/2022	2022
2496	1023023001	43	31/01/2022	2022
2497	1025025001	85	31/01/2022	2022
2498	1112022570	19	31/01/2022	2022
2499	1026026001	129	31/01/2022	2022
2500	1086022346	77	31/01/2022	2022
2501	1087087001	56	31/01/2022	2022
2502	1027015602	58	31/01/2022	2022
2503	1029015265	53	31/01/2022	2022
2504	1030015518	55	31/01/2022	2022
2505	1072072001	66	31/01/2022	2022
2506	1089089001	26	31/01/2022	2022
2507	1067006710	92	31/01/2022	2022
2508	1031014961	134	31/01/2022	2022
2509	1032032001	206	31/01/2022	2022
2510	1033016434	76	31/01/2022	2022
2511	1034034001	26	31/01/2022	2022
2512	1123123001	173	31/01/2022	2022
2513	1035035001	139	31/01/2022	2022
2514	1036036001	72	31/01/2022	2022
2515	1037037001	120	31/01/2022	2022
2516	1038038001	62	31/01/2022	2022
2517	1116021166	105	31/01/2022	2022
2518	1069069001	85	31/01/2022	2022
2519	1041041001	12	31/01/2022	2022
2520	1042016269	87	31/01/2022	2022
2521	1043043001	82	31/01/2022	2022
2522	1075075001	60	31/01/2022	2022
2523	1090090001	77	31/01/2022	2022
2524	1044004401	56	31/01/2022	2022
2525	1047047001	74	31/01/2022	2022
2526	1073022149	80	31/01/2022	2022
2527	1048015687	108	31/01/2022	2022
2528	1091091001	62	31/01/2022	2022
2529	1121018919	66	31/01/2022	2022
2530	1057057001	54	31/01/2022	2022
2531	1050005001	121	31/01/2022	2022
2532	1093093001	59	31/01/2022	2022
2533	1094094001	53	31/01/2022	2022
2534	1095095001	23	31/01/2022	2022
2535	1124124001	67	31/01/2022	2022
2536	1052052001	58	31/01/2022	2022
2537	1053053001	134	31/01/2022	2022
2538	1096096001	46	31/01/2022	2022
2539	1125125001	137	31/01/2022	2022
2540	1054054001	94	31/01/2022	2022
2541	1055015063	114	31/01/2022	2022
2542	1056056001	41	31/01/2022	2022
2543	1058058001	20	31/01/2022	2022
2544	1059016340	74	31/01/2022	2022
2545	1128128001	49	31/01/2022	2022
2546	1060015900	104	31/01/2022	2022
2547	1062062001	91	31/01/2022	2022
2548	1130130001	70	31/01/2022	2022
2549	1066066001	135	31/01/2022	2022
2550	1063014456	78	31/01/2022	2022
2551	1064015820	69	31/01/2022	2022
2552	1131374511	50	31/01/2022	2022
2553	1070011388	109	28/02/2022	2022
2554	1070011390	105	28/02/2022	2022
2555	3070000090	124	28/02/2022	2022
2556	1070011392	90	28/02/2022	2022
2557	1076076001	115	28/02/2022	2022
2558	1002000210	39	28/02/2022	2022
2559	1003003001	144	28/02/2022	2022
2560	1004026445	46	28/02/2022	2022
2561	1004004001	80	28/02/2022	2022
2562	1005011703	92	28/02/2022	2022
2563	1005011707	26	28/02/2022	2022
2564	1005011705	109	28/02/2022	2022
2565	1005011972	99	28/02/2022	2022
2566	1005011711	115	28/02/2022	2022
2567	3005000075	100	28/02/2022	2022
2568	3005011814	1	28/02/2022	2022
2569	3005023099	0	28/02/2022	2022
2570	1005011709	4	28/02/2022	2022
2571	1077077001	32	28/02/2022	2022
2572	1006011106	161	28/02/2022	2022
2573	1006011110	48	28/02/2022	2022
2574	1006011108	157	28/02/2022	2022
2575	3006012001	188	28/02/2022	2022
2576	1006011906	160	28/02/2022	2022
2577	1006011114	46	28/02/2022	2022
2578	1006011118	214	28/02/2022	2022
2579	3006000077	195	28/02/2022	2022
2580	1006026148	139	28/02/2022	2022
2581	1006011122	25	28/02/2022	2022
2582	3006000091	227	28/02/2022	2022
2583	1006022720	214	28/02/2022	2022
2584	1006027447	22	28/02/2022	2022
2585	1006011112	114	28/02/2022	2022
2586	1006011120	46	28/02/2022	2022
2587	3006026674	8	28/02/2022	2022
2588	1006011116	16	28/02/2022	2022
2589	1138025880	74	28/02/2022	2022
2590	1068068001	74	28/02/2022	2022
2591	1100100001	34	28/02/2022	2022
2592	1007007001	128	28/02/2022	2022
2593	1008011826	157	28/02/2022	2022
2594	1008011832	115	28/02/2022	2022
2595	1008011830	72	28/02/2022	2022
2596	1001012526	390	28/02/2022	2022
2597	1001012610	14	28/02/2022	2022
2598	3001000072	129	28/02/2022	2022
2599	1001012530	188	28/02/2022	2022
2600	1001012498	18	28/02/2022	2022
2601	3001000020	225	28/02/2022	2022
2602	1001012548	137	28/02/2022	2022
2603	1001012570	16	28/02/2022	2022
2604	3001000022	160	28/02/2022	2022
2605	1001012542	143	28/02/2022	2022
2606	1001012594	14	28/02/2022	2022
2607	1001027165	104	28/02/2022	2022
2608	1001000099	141	28/02/2022	2022
2609	1001012524	120	28/02/2022	2022
2610	1001013129	55	28/02/2022	2022
2611	1001012512	23	28/02/2022	2022
2612	1001013119	17	28/02/2022	2022
2613	1001012602	78	28/02/2022	2022
2614	1001012596	22	28/02/2022	2022
2615	1001012588	891	28/02/2022	2022
2616	1001012494	107	28/02/2022	2022
2617	1001012528	182	28/02/2022	2022
2618	1001012620	161	28/02/2022	2022
2619	3001000010	130	28/02/2022	2022
2620	3001000678	758	28/02/2022	2022
2621	3001012616	7	28/02/2022	2022
2622	1001012516	6	28/02/2022	2022
2623	1001012502	196	28/02/2022	2022
2624	1001014622	42	28/02/2022	2022
2625	1001012514	30	28/02/2022	2022
2626	1001013125	25	28/02/2022	2022
2627	1001012488	32	28/02/2022	2022
2628	1001319510	30	28/02/2022	2022
2629	1001012590	881	28/02/2022	2022
2630	1001012546	106	28/02/2022	2022
2631	1001012574	225	28/02/2022	2022
2632	1001012598	155	28/02/2022	2022
2633	3001000074	140	28/02/2022	2022
2634	3001000679	530	28/02/2022	2022
2635	3001012592	8	28/02/2022	2022
2636	1001012550	5	28/02/2022	2022
2637	1001012566	145	28/02/2022	2022
2638	1001012508	25	28/02/2022	2022
2639	1001014620	111	28/02/2022	2022
2640	1001025680	24	28/02/2022	2022
2641	1001012578	241	28/02/2022	2022
2642	1001012492	123	28/02/2022	2022
2643	1001012586	182	28/02/2022	2022
2644	1001013863	153	28/02/2022	2022
2645	3001000063	165	28/02/2022	2022
2646	3001012522	10	28/02/2022	2022
2647	1001012556	7	28/02/2022	2022
2648	1001012532	219	28/02/2022	2022
2649	1001012510	23	28/02/2022	2022
2650	1001025683	8	28/02/2022	2022
2651	1001012490	97	28/02/2022	2022
2652	1001025621	187	28/02/2022	2022
2653	3001000071	131	28/02/2022	2022
2654	3001012572	12	28/02/2022	2022
2655	1001041508	14	28/02/2022	2022
2656	1001012518	533	28/02/2022	2022
2657	1001012562	26	28/02/2022	2022
2658	1001156508	31	28/02/2022	2022
2659	1001012558	102	28/02/2022	2022
2660	3001000073	119	28/02/2022	2022
2661	1001012540	233	28/02/2022	2022
2662	1001012554	20	28/02/2022	2022
2663	1001012552	125	28/02/2022	2022
2664	3001000045	170	28/02/2022	2022
2665	1001012520	143	28/02/2022	2022
2666	1001012496	13	28/02/2022	2022
2667	1001012538	90	28/02/2022	2022
2668	3001000050	126	28/02/2022	2022
2669	1001012536	146	28/02/2022	2022
2670	1001012606	16	28/02/2022	2022
2671	3001000055	138	28/02/2022	2022
2672	1001012534	166	28/02/2022	2022
2673	1001012506	20	28/02/2022	2022
2674	3001000079	117	28/02/2022	2022
2675	4201000111	1303	28/02/2022	2022
2676	1001012600	112	28/02/2022	2022
2677	1001012608	10	28/02/2022	2022
2678	1001013121	109	28/02/2022	2022
2679	1001013123	29	28/02/2022	2022
2680	3001000065	96	28/02/2022	2022
2681	3001000201	213	28/02/2022	2022
2682	3001000061	40	28/02/2022	2022
2683	3001013127	3	28/02/2022	2022
2684	3001012624	6	28/02/2022	2022
2685	1001000201	21	28/02/2022	2022
2686	1097010016	57	28/02/2022	2022
2687	1097010018	50	28/02/2022	2022
2688	1097139508	15	28/02/2022	2022
2689	3097011930	32	28/02/2022	2022
2690	1097019012	52	28/02/2022	2022
2691	1080008010	32	28/02/2022	2022
2692	1009015980	92	28/02/2022	2022
2693	1009015982	98	28/02/2022	2022
2694	3009000089	35	28/02/2022	2022
2695	1009083507	104	28/02/2022	2022
2696	1071071001	56	28/02/2022	2022
2697	1104104001	254	28/02/2022	2022
2698	1010016157	106	28/02/2022	2022
2699	1010016159	108	28/02/2022	2022
2700	3010000093	75	28/02/2022	2022
2701	1010023139	27	28/02/2022	2022
2702	1081081001	30	28/02/2022	2022
2703	1011019799	9	28/02/2022	2022
2704	1011013463	40	28/02/2022	2022
2705	1012015439	73	28/02/2022	2022
2706	1012015441	222	28/02/2022	2022
2707	1136021126	63	28/02/2022	2022
2708	1136167508	80	28/02/2022	2022
2709	1136114507	40	28/02/2022	2022
2710	1013014285	78	28/02/2022	2022
2711	1013014287	126	28/02/2022	2022
2712	1013027887	52	28/02/2022	2022
2713	1014014001	113	28/02/2022	2022
2714	1015012327	197	28/02/2022	2022
2715	1015012331	68	28/02/2022	2022
2716	1015012329	162	28/02/2022	2022
2717	1015012333	75	28/02/2022	2022
2718	1015012337	32	28/02/2022	2022
2719	3015017708	13	28/02/2022	2022
2720	1015012335	13	28/02/2022	2022
2721	3015000085	183	28/02/2022	2022
2722	1016019973	47	28/02/2022	2022
2723	1017016557	159	28/02/2022	2022
2724	1017016559	134	28/02/2022	2022
2725	3017000082	100	28/02/2022	2022
2726	1105105001	50	28/02/2022	2022
2727	1018001801	78	28/02/2022	2022
2728	1083083001	82	28/02/2022	2022
2729	1019015341	78	28/02/2022	2022
2730	1107019141	191	28/02/2022	2022
2731	1108144508	99	28/02/2022	2022
2732	1084084001	42	28/02/2022	2022
2733	1109109001	104	28/02/2022	2022
2734	1110020599	107	28/02/2022	2022
2735	1020020001	31	28/02/2022	2022
2736	1021022682	27	28/02/2022	2022
2737	1021015151	100	28/02/2022	2022
2738	1022014836	99	28/02/2022	2022
2739	1085019015	45	28/02/2022	2022
2740	1111026765	62	28/02/2022	2022
2741	1023023001	53	28/02/2022	2022
2742	1024014662	92	28/02/2022	2022
2743	1024014664	112	28/02/2022	2022
2744	3024000094	88	28/02/2022	2022
2745	1024014668	16	28/02/2022	2022
2746	1024014666	117	28/02/2022	2022
2747	1025025001	96	28/02/2022	2022
2748	1112022570	19	28/02/2022	2022
2749	1026026001	147	28/02/2022	2022
2750	1086022346	84	28/02/2022	2022
2751	1087087001	60	28/02/2022	2022
2752	1027015602	69	28/02/2022	2022
2753	1028012012	378	28/02/2022	2022
2754	1028012018	27	28/02/2022	2022
2755	3028000070	103	28/02/2022	2022
2756	1028012014	231	28/02/2022	2022
2757	1028012020	25	28/02/2022	2022
2758	3028000701	113	28/02/2022	2022
2759	1028012016	230	28/02/2022	2022
2760	1028012038	177	28/02/2022	2022
2761	1028012022	68	28/02/2022	2022
2762	3028012036	5	28/02/2022	2022
2763	1028012034	7	28/02/2022	2022
2764	1029015265	54	28/02/2022	2022
2765	1030015518	57	28/02/2022	2022
2766	1133011030	87	28/02/2022	2022
2767	1133011032	100	28/02/2022	2022
2768	3133000087	106	28/02/2022	2022
2769	1133013781	67	28/02/2022	2022
2770	1072072001	72	28/02/2022	2022
2771	1089089001	29	28/02/2022	2022
2772	1067006710	103	28/02/2022	2022
2773	1031014961	144	28/02/2022	2022
2774	1032032001	219	28/02/2022	2022
2775	3033000084	33	28/02/2022	2022
2776	1033016434	86	28/02/2022	2022
2777	1034034001	30	28/02/2022	2022
2778	1115115001	134	28/02/2022	2022
2779	1115168508	39	28/02/2022	2022
2780	1123123001	175	28/02/2022	2022
2781	1035035001	158	28/02/2022	2022
2782	1036036001	73	28/02/2022	2022
2783	1037037001	126	28/02/2022	2022
2784	1038038001	74	28/02/2022	2022
2785	1116021166	124	28/02/2022	2022
2786	1069069001	88	28/02/2022	2022
2787	1039013583	144	28/02/2022	2022
2788	1039013585	219	28/02/2022	2022
2789	1039017016	22	28/02/2022	2022
2790	1039013589	148	28/02/2022	2022
2791	3039088507	85	28/02/2022	2022
2792	1040014567	194	28/02/2022	2022
2793	1040014571	63	28/02/2022	2022
2794	1040014569	204	28/02/2022	2022
2795	1040062507	50	28/02/2022	2022
2796	1040014573	177	28/02/2022	2022
2797	1040277510	102	28/02/2022	2022
2798	3040000062	223	28/02/2022	2022
2799	1041041001	14	28/02/2022	2022
2800	1042016269	86	28/02/2022	2022
2801	1043043001	85	28/02/2022	2022
